mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	TextLine
13	12	91/2	91/2	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	235		articStaccatoBelow								
13	12	137/3	137/3	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	236										
13	12	275/6	275/6	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	237										
13	12	46	46	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	238										
13	12	48	48	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	239		articStaccatoBelow								
13	12	89/2	89/2	2.0	0	0	Chord	4/4	2	3	1/2	1/2	1	240		articAccentAbove								
14	13	97/2	97/2	0.0	0	0	Dynamic	4/4	1	1	0				f									
14	13	97/2	97/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	241		articAccentBelow								
14	13	50	50	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	242										
14	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	243		articTenutoAbove								
14	13	52	52	0.0	7/8	7/8	Dynamic	4/4	1	1	0				f									
14	13	52	52	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	244		articStaccatoBelow								
14	13	49	49	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	245							33			
14	13	197/4	197/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	246							33			
14	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	247										
14	13	51	51	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	248							34			
14	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	249							34			
14	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	250										
14	13	97/2	97/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	251		articAccentAbove								
14	13	50	50	0.0	3/8	3/8	StaffText	4/4	2	1	0						dim.							
14	13	50	50	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	252		articStaccatoBelow								
14	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	253										
14	13	52	52	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	254		articStaccatoBelow								
14	13	49	49	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	255							35			
14	13	197/4	197/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	256							35			
14	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	257										
14	13	51	51	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	258							36			
14	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	259							36			
14	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	260										
15	14	105/2	105/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	261		articAccentBelow								
15	14	54	54	0.0	3/8	3/8	StaffText	4/4	1	1	0						dim.							
15	14	54	54	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	262		articStaccatoBelow								
15	14	109/2	109/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	263		articTenutoAbove								
15	14	56	56	0.0	7/8	7/8	Dynamic	4/4	1	1	0				p									
15	14	56	56	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	264		articStaccatoBelow								
15	14	53	53	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	265							37			
15	14	213/4	213/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	266							37			
15	14	107/2	107/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	267										
15	14	55	55	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	268							38			
15	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	269							38			
15	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	270										
15	14	105/2	105/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	271		articAccentAbove								
15	14	54	54	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	272		articStaccatoBelow								
15	14	109/2	109/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	273		articTenutoAbove								
15	14	56	56	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	274		articStaccatoBelow								
15	14	53	53	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	275							39			
15	14	213/4	213/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	276							39			
15	14	107/2	107/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	277										
15	14	55	55	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	278							40			
15	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	279							40			
15	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	280										
16	15	113/2	113/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	281		articStaccatoAbove								
16	15	57	57	0.0	1/8	1/8	Spanner	4/4	1	1	0												2	
16	15	57	57	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	282		articTenutoAbove							2	
16	15	58	58	1.0	3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	283		articTenutoAbove							2	
16	15	59	59	0.0	5/8	5/8	Spanner	4/4	1	1	0													
16	15	59	59	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	284		articStaccatoAbove								
16	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	285		articStaccatoAbove								
16	15	60	60	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	286		articStaccatoAbove								
16	15	113/2	113/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	287										
16	15	57	57	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	288		articTenutoAbove								
16	15	58	58	1.0	3/8	3/8	Chord	4/4	2	1	1/4	1/4	1	289		articTenutoAbove								
16	15	59	59	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	290		articStaccatoBelow								
16	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	291		articStaccatoBelow								
16	15	60	60	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	292		articStaccatoBelow								
